Date : 2026-08-23 08:27:08
Directory : d:\work2026\floor
Total : 144 files,  23518 codes, 491 comments, 2200 blanks, all 26209 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| d:\work2026\floor\src\components\AddressFilter\AddressFilter.jsx                       | JavaScript JSX |         37 |          0 |          5 |         42 |
| d:\work2026\floor\src\components\AddressFilter\AddressFilter.module.css                | PostCSS        |         34 |          1 |          5 |         40 |
| d:\work2026\floor\src\components\AddressHistory\AddressHistory.jsx                     | JavaScript JSX |         11 |         54 |          4 |         69 |
| d:\work2026\floor\src\components\AddressHistory\AddressHistory.module.css              | PostCSS        |         39 |          0 |          6 |         45 |
| d:\work2026\floor\src\components\AddressSection\AddressSection.jsx                     | JavaScript JSX |         18 |          0 |          4 |         22 |
| d:\work2026\floor\src\components\AddressSection\AddressSection.module.css              | PostCSS        |         30 |          0 |          5 |         35 |
| d:\work2026\floor\src\components\AdminListManager\AdminListManager.jsx                 | JavaScript JSX |         96 |          0 |         13 |        109 |
| d:\work2026\floor\src\components\AdminListManager\AdminListManager.module.css          | PostCSS        |         70 |          3 |         11 |         84 |
| d:\work2026\floor\src\components\App\App.jsx                                           | JavaScript JSX |        245 |          7 |         10 |        262 |
| d:\work2026\floor\src\components\App\App.module.css                                    | PostCSS        |        240 |          8 |         36 |        284 |
| d:\work2026\floor\src\components\AutocompleteInput\AutocompleteInput.jsx               | JavaScript JSX |         72 |          1 |         11 |         84 |
| d:\work2026\floor\src\components\AutocompleteInput\AutocompleteInput.module.css        | PostCSS        |         72 |          0 |          9 |         81 |
| d:\work2026\floor\src\components\CompanyList\CompanyList.jsx                           | JavaScript JSX |         86 |          1 |          9 |         96 |
| d:\work2026\floor\src\components\CompanyList\CompanyList.module.css                    | PostCSS        |         97 |          1 |         11 |        109 |
| d:\work2026\floor\src\components\CompanySection\CompanySection.jsx                     | JavaScript JSX |         18 |          0 |          4 |         22 |
| d:\work2026\floor\src\components\CreateCompanyForm\CreateCompanyForm.jsx               | JavaScript JSX |         53 |          1 |          8 |         62 |
| d:\work2026\floor\src\components\CreateCompanyForm\CreateCompanyForm.module.css        | PostCSS        |         52 |          1 |          8 |         61 |
| d:\work2026\floor\src\components\CreatePersonForm\CreatePersonForm.jsx                 | JavaScript JSX |         54 |          4 |         11 |         69 |
| d:\work2026\floor\src\components\CreatePersonForm\CreatePersonForm.module.css          | PostCSS        |         32 |          0 |          5 |         37 |
| d:\work2026\floor\src\components\CreateTableForm\CreateTableForm.jsx                   | JavaScript JSX |         32 |          0 |          5 |         37 |
| d:\work2026\floor\src\components\CreateTableForm\CreateTableForm.module.css            | PostCSS        |          0 |          0 |          1 |          1 |
| d:\work2026\floor\src\components\EmptyState\EmptyState.jsx                             | JavaScript JSX |         12 |          1 |          3 |         16 |
| d:\work2026\floor\src\components\EmptyState\EmptyState.module.css                      | PostCSS        |         17 |          1 |          3 |         21 |
| d:\work2026\floor\src\components\FileUpload\FileUpload.jsx                             | JavaScript JSX |         40 |          4 |          9 |         53 |
| d:\work2026\floor\src\components\FileUpload\FileUpload.module.css                      | PostCSS        |         26 |          1 |          5 |         32 |
| d:\work2026\floor\src\components\Header\Header.jsx                                     | JavaScript JSX |        272 |         10 |         27 |        309 |
| d:\work2026\floor\src\components\Header\Header.module.css                              | PostCSS        |        442 |          8 |         73 |        523 |
| d:\work2026\floor\src\components\InvoiceDetailsModal\InvoiceDetailsModal.jsx           | JavaScript JSX |         23 |          1 |          5 |         29 |
| d:\work2026\floor\src\components\InvoiceDetailsModal\InvoiceDetailsModal.module.css    | PostCSS        |         56 |          1 |          9 |         66 |
| d:\work2026\floor\src\components\InvoiceList\InvoiceList.jsx                           | JavaScript JSX |          0 |         30 |          3 |         33 |
| d:\work2026\floor\src\components\InvoiceList\InvoiceList.module.css                    | PostCSS        |         30 |          0 |          6 |         36 |
| d:\work2026\floor\src\components\LoginModal\LoginModal.jsx                             | JavaScript JSX |         87 |          3 |         13 |        103 |
| d:\work2026\floor\src\components\LoginModal\LoginModal.module.css                      | PostCSS        |         73 |          1 |         13 |         87 |
| d:\work2026\floor\src\components\MaterialsManager\MaterialsManager.jsx                 | JavaScript JSX |        127 |          1 |         17 |        145 |
| d:\work2026\floor\src\components\MaterialsManager\MaterialsManager.module.css          | PostCSS        |         76 |          1 |         11 |         88 |
| d:\work2026\floor\src\components\Modal\Modal.jsx                                       | JavaScript JSX |         19 |          1 |          3 |         23 |
| d:\work2026\floor\src\components\Modal\Modal.module.css                                | PostCSS        |         82 |          3 |         10 |         95 |
| d:\work2026\floor\src\components\NewCompanyTablePage\BelvistaTablesPage.jsx            | JavaScript JSX |        233 |         27 |         28 |        288 |
| d:\work2026\floor\src\components\NewCompanyTablePage\NewCompanyTableDetails.jsx        | JavaScript JSX |        290 |          7 |         32 |        329 |
| d:\work2026\floor\src\components\NewCompanyTablePage\NewCompanyTableDetails.module.css | PostCSS        |        173 |          2 |         34 |        209 |
| d:\work2026\floor\src\components\NewCompanyTablePage\NewCompanyTablePage.module.css    | PostCSS        |        180 |         11 |         26 |        217 |
| d:\work2026\floor\src\components\NewCompanyTablePage\NewInvoiceForm.jsx                | JavaScript JSX |        108 |          0 |         13 |        121 |
